Title	URL	Assignees	Status	Estimated size	Real size	Labels	Priority
LLM Selection Evaluation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/44		Product Backlog			System / AI Processing	
Transcript text normalization	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/63	slnkahveci	In Progress	1		Corpus Management, Sprint 4	
Upload Predefined Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/9	ClimbTheGrind, paulKlarer	In Progress	3		Query & Analysis Initialization, Sprint 4, Sprint 5	
setup.ps1 -Rebuild -Test does not rebuild the `api-test` Docker image	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/80	Wecoreator	In Progress				
Setup Frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/57	annus3, slnkahveci	Awaiting Review	8		Set Up, Sprint 4, Sprint 5	High Priority
Link Transcripts and Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/5	julianlucawendlandt-jpg, Wecoreator	Awaiting Review	5		Corpus Management, Sprint 5	
Upload Demographic Data	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/3	julianlucawendlandt-jpg, Wecoreator	Awaiting Review	3		Corpus Management, Sprint 4, Sprint 5	
Setting Up LLM in Cluster	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/42	ClimbTheGrind, paulKlarer	Awaiting Review	13		Sprint 3, System / AI Processing	
Select Open Source Embedding Model	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/38	Wecoreator	Awaiting Review			research	
Fix encoding of setup.ps1 file	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/78	Wecoreator	Awaiting Review				
DATABASE_URL overwritten in docker-compose.yml	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/81	julianlucawendlandt-jpg	Awaiting Review				
Upload Transcripts	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/2	slnkahveci	Feature Archive	3	3	Corpus Management, Sprint 4	
Simple data persistence layer	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/39	julianlucawendlandt-jpg, Wecoreator	Feature Archive	5	6	Corpus Management, Sprint 3	
View Theme Overview	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/13	julianlucawendlandt-jpg, Wecoreator	Feature Archive	8	8	Corpus View, Sprint 3	
Automated database structure setup	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/49	julianlucawendlandt-jpg, Wecoreator	Feature Archive		1	Query & Analysis Initialization, Sprint 3	
Implement Build Process	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/55	hrasul	Feature Archive	1	3	Set Up, Sprint 4	
Plan Build Process	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/43		Feature Archive	5		Set Up, Sprint 3	
Setup pytest container	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/51	julianlucawendlandt-jpg, Wecoreator	Feature Archive		1	Set Up, Sprint 3	
Create Project Logo	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/1	ClimbTheGrind	Feature Archive			good first issue, Sprint 1	
Select Open Source LLM for Generation Phase	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/21	ClimbTheGrind, paulKlarer	Feature Archive	3	5	Sprint 2	
Homework 2: Create PDF of software architecture description	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/34	julianlucawendlandt-jpg, slnkahveci	Feature Archive			documentation, Sprint 2	
Homework 2: Software bill of materials	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/32	Wecoreator	Feature Archive			documentation, Sprint 2	
Setting up the repository with FASTApi boiler plate code	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/35	hrasul	Feature Archive			Sprint 2, System / AI Processing	
Apply Codebook to Interview	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/41	ClimbTheGrind, paulKlarer	Feature Archive	3	3	Sprint 3, Sprint 4, System / AI Processing	
LLM request	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/40	slnkahveci	Feature Archive	3	3	Sprint 3, System / AI Processing	
Add Root README File	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/56	paulKlarer	Feature Archive	1	1	documentation, Sprint 4	
Setup Frontend for document upload only	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/64	slnkahveci	Feature Archive	2	3	Sprint 4	
Read Suggested Research Papers	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/8	ClimbTheGrind, julianlucawendlandt-jpg, paulKlarer, slnkahveci, Wecoreator	Feature Archive			research	
SOTA research for LLM based codebook generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/33	hrasul, Wecoreator	Feature Archive			research	
Researcher Dashboard (Home Screen)	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/90		Product Backlog			Sprint 6	
