Title	URL	Assignees	Status	Estimated size	Real size	Labels	Merge Status	Priority
Trigger Codebook Application	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/10	ClimbTheGrind, paulKlarer	Feature Archive	2	2	Analysis, Sprint 8	Merged	
Enter Natural Language Query	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/6	hrasul, slnkahveci	Feature Archive	3	3	Analysis, Sprint 7	Merged	
Select Coding Mode Frontend	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/7	slnkahveci	Feature Archive	3	3	Analysis, Sprint 6		
Upload Predefined Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/9	ClimbTheGrind, paulKlarer	Feature Archive	3	5	Analysis, Sprint 4, Sprint 5		
Automated database structure setup	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/49	julianlucawendlandt-jpg, Wecoreator	Feature Archive		1	Analysis, Sprint 3		
Remove “Code” from Codebook Editing Page	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/207	ClimbTheGrind, paulKlarer	Feature Archive			Codebook, Sprint 11		
Improve Codebook Application & Generation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/186	Wecoreator	Feature Archive			Codebook, Sprint 10, System / AI Processing	Merged	
Add Generate Codebook Button to Upload Codebooks Page	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/179	annus3, slnkahveci	Feature Archive	2	1	Codebook, Sprint 10	Merged	
Add Theme Descriptions to Codebook Page	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/178	julianlucawendlandt-jpg	Feature Archive	2	2	Codebook, Sprint 10	Merged	
Semi-Automatic Codebook Creation	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/124	slnkahveci	Feature Archive	3	3	Codebook, Sprint 8		
Codebook application parallelization & batching	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/159	Wecoreator	Feature Archive			Codebook, Sprint 9	Merged	
Export Codebook	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/85	ClimbTheGrind	Feature Archive	2	2	Codebook, Sprint 6		
Modify Delete Corpus Template	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/180	ClimbTheGrind, paulKlarer	Feature Archive			Corpus Management, Sprint 10	Merged	
Linking Interviews and Demographic Data manually	https://github.com/amosproj/amos2026ss02-automated-thematic-analysis/issues/74	hrasul	Feature Archive	5	5	Corpus Management	Merged	
